absorbent	absorber
absolute	abstract
abide	accept
ability	accomplishment
account	accounting
accept	acknowledge
absorb	acquire
accept	acquire
acquit	act
accomplishment	action
act	action
achievement	action
accelerator	activator
act	activity
acting	activity
actor	actress
accent	acute
accustom	addict
addition	additive
access	address
abode	address
acknowledge	adjudge
adapt	adjust
address	adjust
accept	admit
adjudge	admit
accept	adopt
adhere	adopt
admiration	adoration
adjustment	advance
advance	advise
admirer	advocate
advise	advocate
action	agency
activity	agency
act	aggress
action	aggression
advertise	agitate
accord	agree
accept	agree
accede	agree
adhere	agree
accession	agreement
accord	agreement
activity	aid
address	aim
airliner	airplane
address	align
agree	align
adjust	align
adjustment	alignment
accusation	allegation
accord	alliance
alliance	allies
alignment	allies
abide	allow
accept	allow
admit	allow
afford	allow
allot	allow
allow	allowance
accelerate	alter
accustom	alter
activate	alter
adapt	alter
add	alter
adjust	alter
adorn	alter
affect	alter
age	alter
aggravate	alter
alien	alter
acceleration	alteration
act	alternate
alter	alternate
alum	aluminum
admiration	amazement
aid	amend
advance	amend
alter	amend
advance	amount
airplane	amphibian
analysis	anatomy
account	anecdote
aggravate	anger
adult	animal
alter	animate
activity	animation
account	annals
advertise	announce
advisory	announcement
anger	annoyance
almanac	annual
agree	answer
act	anticipate
alter	antique
angst	anxiety
advert	appeal
apparition	appearance
appendage	appendix
acclaim	applaud
action	application
address	apply
allot	apply
analyze	appraise
acknowledge	appreciate
adoration	appreciation
anticipate	apprehend
appreciation	apprehension
access	approach
act	approach
address	approach
allot	appropriate
adoption	approval
applause	approval
appreciation	approval
acceptance	approval
admiration	approval
acclaim	approval
approach	approximate
ability	aptitude
anthropology	archeology
aisle	area
area	arena
address	argument
ammo	arms
ammunition	arms
alerting	arousal
affect	arouse
anger	arouse
alter	arouse
animate	arouse
accuse	arraign
agree	arrange
alignment	arrangement
arrange	array
arrangement	array
accomplishment	arrival
action	arrival
achievement	arrival
appearance	arrival
aorta	artery
accent	articulate
article	artifact
accede	ascend
arise	ascend
alter	ash
articulate	ask
address	ask
appeal	asking
ambition	aspiration
abuse	assail
assail	assault
abuse	assault
act	assay
adventure	assay
appraisal	assay
analyze	assay
acceptance	assent
agreement	assent
agree	assent
allege	assert
acquit	assert
approximate	assess
act	assessment
assay	assessment
advantage	asset
amount	assets
anus	asshole
advance	assign
allot	assign
appoint	assign
appropriate	assign
allow	assign
apply	assign
allocation	assigning
allocation	assignment
adapt	assimilate
absorb	assimilate
adjust	assimilate
alter	assimilate
acquire	assimilate
aid	assist
abet	assist
activity	assist
activity	assistance
aide	assistant
accompany	associate
ally	associate
act	assume
anticipate	assume
appropriate	assume
act	assumption
affirm	assure
assert	assure
admiration	astonishment
alum	astringent
acrobat	athlete
amateur	athlete
archery	athletics
append	attach
affix	attach
adhere	attach
addition	attachment
affection	attachment
act	attack
affect	attack
assault	attack
abuse	attack
access	attain
arrive	attain
act	attempt
adventure	attempt
assault	attempt
activity	attempt
accompany	attend
aid	attend
assist	attend
appearance	attendance
associate	attendant
assistant	attendant
appearance	attending
affirm	attest
assert	attest
acceptance	attitude
advocate	attorney
arrest	attract
allure	attraction
attention	attraction
adjust	attune
accounting	audit
analyze	audit
accountant	auditor
area	auditorium
anticipate	augur
adviser	authority
advisor	authority
ambulance	auto
ambulance	automobile
aid	avail
assist	avail
apply	avail
approach	avenue
attack	avenue
assert	aver
assure	aver
attest	aver
accomplish	average
amount	average
attain	average
achieve	average
art	aviation
abstain	avoid
acknowledge	avow
assure	avow
attest	avow
admit	avow
anticipate	await
affect	awaken
alter	awaken
addiction	award
addiction	awarding
admiration	awe
alliance	axis
alignment	axis
ante	back
affirm	back
approve	back
aspect	background
attendant	background
accent	background
approval	backing
alternate	backup
approval	backup
backpack	bag
activity	bag
bag	baggage
assail	bait
assault	bait
attack	bait
arrangement	balance
account	balance
acrobat	balancer
amass	bale
accumulate	bale
area	balk
attribute	ballast
balm	balsam
adornment	band
attach	band
adornment	banding
adornment	bangle
act	bank
acquirer	bank
array	bank
bait	banter
averting	bar
band	bar
banding	bar
alter	barb
adorn	bard
air	bare
agreement	bargain
agree	bargain
barmaid	barman
bait	barrack
assail	barrage
assault	barrage
attack	barrage
banister	barrier
bannister	barrier
bar	barrier
